Title,DOI,Country,Qualitative data methods,How the clinical trial Used Qualitative Data?,Barriers to the use of qualitative data,Raw qualitative data shared?,Where is the data shared?
Using peer advocates to improve access to services among hard-to-reach populations with hepatitis C: a qualitative study of client and provider relationships,10.1186/s12954-017-0202-x,UK,"narrative interviews, thematic analysis, narrative analysis","Yes; qualitative data was used through narrative interviews with peer advocates, analyzed via thematic and narrative analysis to explore how peer advocates build and sustain relationships with clients in a clinical trial context.","Small sample size, potential subjectivity, confidentiality concerns",No,Not applicable
Determining external randomised pilot trial feasibility in preparation for a definitive trial: a web-based survey of corresponding authors of external pilot trial publications,10.1186/s13063-022-06981-8,UK,Content analysis,Yes; qualitative data was used to analyze open-ended survey responses to understand factors informing pilot trial feasibility and progression,Not mentioned,No,Not applicable
"The Experiences of Newly Diagnosed Men Who Have Sex with Men (MSM) Entering the HIV Care Cascade in Lima, Peru, 2015-2016: A Qualitative Analysis of Counselor-Participant Text Message Exchanges",SMS_MSM_HIV_care_Cascade_Peru.grobid,Peru,"thematic analysis, grounded theory, inductive coding, constant-comparative method","Yes; qualitative data was used to analyze bi-directional text message exchanges between participants and counselors to identify themes related to mental health, coping, support, and care coordination during early HIV care stages.",Not mentioned,No,Not applicable
Parental experience of an early developmental surveillance programme for autism within Australian general practice: a qualitative study,10.1136/bmjopen-2022-064375,Australia,"interviews, thematic analysis",Yes; qualitative data was used to explore parents'/caregivers' experiences and perceptions of a digital developmental surveillance pathway for autism through audio-recorded interviews analyzed thematically.,"Small sample size due to convenience and self-selection bias, potential sample bias towards more involved parents/caregivers, not explicitly mentioning other barriers such as cost or ethics.",No,Not applicable
Randomised controlled trial of silk therapeutic garments for the management of atopic eczema in children: the CLOTHES trial,10.3310/hta21160,UK,"Interviews, Thematic analysis","Yes; qualitative data were used through nested qualitative studies involving interviews and thematic analysis to explore views of children, parents, clinicians, and commissioners about the silk garments and trial participation.",Not mentioned,No,Not applicable
We knew it was a totally at random thing': parents' experiences of being part of a neonatal trial,10.1186/s13063-017-2112-3,UK,"audio-recorded discussions, open-text questionnaire responses, qualitative interviews, thematic analysis","Yes; qualitative data were used to explore parents' experiences and perceptions of trial participation through audio-recorded discussions, open-text questionnaire responses, and interviews analyzed thematically to identify key themes about participation, understanding, and impact of the trial.",Not mentioned,No,Not applicable
The effectiveness and satisfaction of web-based physiotherapy in people with spinal cord injury: a pilot randomised controlled trial,10.1038/sc.2016.125,UK,Telephone interviews,Yes; qualitative data was used to explore participant satisfaction with the intervention through telephone interviews following the 8-week web-based physiotherapy program.,Not mentioned,No,Not applicable
Network methods to support user involvement in qualitative data analyses: an introduction to Participatory Theme Elicitation,10.1186/s13063-017-2289-5,UK,"focus groups, thematic analysis, participatory theme elicitation (PTE), network analysis","Yes; qualitative data from focus groups was used to develop and test a new participatory data analysis method (PTE) involving youth advisory panel members sorting excerpts to identify thematic clusters, supplementing researcher-led thematic analysis.","Challenges include power imbalances between researchers and users, need for training of lay researchers, potential tokenistic engagement, and resource constraints for meaningful involvement.",No,Not applicable
Implementing an intervention designed to enhance service user involvement in mental health care planning: a qualitative process evaluation,10.1007/s00127-018-1603-1,UK,"semi-structured interviews, thematic analysis","Yes; qualitative data was used in a longitudinal process evaluation involving 134 semi-structured interviews with service users, carers, and professionals to explore influences on implementation and the impact of the training intervention over time.",Not mentioned,No,Not applicable
The long-term (24-month) effect on health and well-being of the Lifestyle Matters community-based intervention in people aged 65 years and over: a qualitative study,10.1136/bmjopen-2017-016711,UK,"Interviews, framework analysis","Yes; qualitative data was used through interviews with a purposeful sample of participants at 24 months post-randomisation to explore their experiences and the long-term impact of the Lifestyle Matters intervention on their lifestyle choices, participation in meaningful activities, and well-being.",Recall bias due to participants being asked to recall events up to 2 years prior; no other barriers explicitly mentioned,No,Not applicable
Kangaroo mother care: using formative research to design an acceptable community intervention,10.1186/s12889-018-5197-z,India,"in-depth interviews, focus group discussions, observation","Yes; qualitative data was used to assess feasibility, acceptability, and barriers to community-initiated Kangaroo Mother Care (cKMC) through interviews and focus groups with mothers, family members, and community health workers, informing the design of an intervention package for a clinical trial.",Not mentioned,No,Not applicable
King's Research Portal,10.1016/j.jsat.2019.01.012,UK,"Qualitative research (general, unspecified), social marketing framework","Yes; qualitative data was used to understand factors affecting recruitment to the NEAT clinical trial from the perspectives of patients and staff, aiming to learn lessons for future trial design and conduct.",Not mentioned,No,Not applicable
Internet delivery of intensive speech and language therapy for children with cerebral palsy: a pilot randomised controlled trial,10.1136/bmjopen-2018-024233,UK,"Interviews, workshops, qualitative study of acceptability",Yes; qualitative data was used to assess the acceptability of Skype therapy delivery and the trial design through interviews and workshops with children and parents.,Generalisability limited due to requirement for internet access and computer/tablet at home; other barriers not explicitly mentioned.,No,Not applicable
Optimising recruitment to a late-phase tuberculosis clinical trial: a qualitative study exploring patient and practitioner experiences in Uzbekistan,10.1186/s13063-021-05850-0,Uzbekistan,"in-depth interviews, focus group discussions, thematic analysis","Yes; qualitative data was used to explore patient and health worker experiences, identify barriers and facilitators to recruitment, and co-develop solutions to improve trial enrolment through interviews and focus groups analyzed thematically.",Not mentioned,No,Not applicable
Perspectives of informal caregivers who support people following hip fracture surgery: a qualitative study embedded within the HIP HELPER feasibility trial,10.1136/bmjopen-2023-074095,UK,"semistructured interviews, thematic analysis",Yes; qualitative data was used to explore informal caregivers' perspectives through semistructured interviews and thematic analysis to identify themes about caregiving experiences and challenges.,Not mentioned,No,Not applicable
Patient and physiotherapist perceptions of the Getting Recovery Right After Neck Dissection (GRRAND) rehabilitation intervention: a qualitative interview study embedded within a feasibility trial,10.1136/bmjopen-2022-064269,England,"interviews, thematic analysis","Yes; qualitative data was used through semistructured interviews with patients and physiotherapists to explore acceptability, usefulness, and feasibility of the GRRAND intervention within a feasibility trial.",Small sample size and homogeneity due to COVID-19 restrictions limiting generalisability,No,Not applicable
Parental experiences of an integrated mental health intervention for children with epilepsy: a qualitative study within a randomised controlled trial,10.1016/j.yebeh.2024.110169,UK,"Interviews, Interpretative Phenomenological Analysis (IPA), Framework Analysis","Yes; qualitative data was used to explore parents' experiences and changes over time through in-depth interviews conducted at baseline and six months, analyzed to understand cognitive and affective processes involved in therapeutic change.","Small sample size (15% of trial participants), potential bias due to some families declining participation or lost to follow-up, and differential participation by mothers vs fathers.",No,Not applicable
The feasibility and acceptability of a novel Anxiety in Bipolar Disorder (AIBD) intervention compared to treatment as usual: A randomised controlled trial,Anxiety_outcome_paper_plain_text_revision_clean_01.05.18.grobid,UK,"qualitative interviews, focus groups, thematic analysis","Yes; qualitative data was used to explore feasibility and acceptability through participant interviews and focus groups, informing intervention development and understanding participant experiences.",Not mentioned,No,Not applicable
Assessing the acceptability of incentivising HPV vaccination consent form return as a means of increasing uptake,10.1186/s12889-018-5278-z,UK,"free-text questionnaire responses, telephone interviews, thematic analysis","Yes; qualitative data was used to assess the acceptability of the incentive intervention from adolescent girls, their parents, and school staff through free-text questionnaire responses and interviews, analyzed thematically to understand perceptions and misconceptions about the incentive.",Not mentioned,No,Not applicable
The Community Navigator Study: a feasibility randomised controlled trial of an intervention to increase community connections and reduce loneliness for people with complex anxiety or depression,10.1186/s13063-017-2226-7,UK,qualitative interviews,"Yes; qualitative interviews with participants, staff and other stakeholders were used to explore experiences of Community Navigator support, mechanisms of effect, and suggestions for improvement.",Not mentioned,No,Not applicable
Implication of nurse intervention on engagement with urate-lowering drugs: A qualitative study of participants in a RCT of nurse led care,10.1016/j.jbspin.2018.10.008,UK,"interviews, modified grounded theory, thematic analysis",Yes; qualitative data was used to explore patient perceptions of nurse-led care in gout management through semi-structured interviews analyzed with grounded theory to identify themes about engagement with urate-lowering therapies.,Not mentioned,No,Not applicable
Participant experiences of two successful habit-based weight-loss interventions in Australia: a qualitative study,10.1136/bmjopen-2017-020146,Australia,"semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore participants' experiences, perspectives, and acceptability of two habit-based weight-loss interventions through one-on-one interviews analyzed thematically.",Not mentioned,No,Not applicable
Care home resident and staff perceptions of the acceptability of nutrition intervention trial procedures: a qualitative study embedded within a cluster randomised feasibility trial,10.1136/bmjopen-2018-022307,UK,"Semi-structured interviews, focus groups","Yes; qualitative data was used to explore perceptions of trial procedures, acceptability of interventions, and staff experiences through interviews with residents and focus groups with staff.","Small sample size, particularly few residents interviewed; challenges related to research setting and participant recruitment; ethical considerations regarding capacity to consent.",No,Not applicable
Evaluating feasibility and acceptability of a group WHO trans-diagnostic intervention for women with common mental disorders in rural Pakistan: a cluster randomised controlled feasibility trial,10.1017/S2045796017000336,Pakistan,in-depth interviews,Yes; qualitative data was used to explore the acceptability of the Group PM+ intervention to a range of stakeholder groups through in-depth interviews.,Not mentioned,No,Not applicable
Basic versus biofeedback-mediated intensive pelvic floor muscle training for women with urinary incontinence: the OPAL RCT,10.3310/hta24700,UK,"Therapist interviews, longitudinal qualitative case study, audio-recordings, case study data analysis","Yes; qualitative data were used to explore therapist perspectives via interviews, adherence patterns through case studies, and treatment delivery via audio-recordings to understand facilitators and barriers to adherence and intervention delivery.",Not mentioned,No,Not applicable
A pilot randomised controlled trial of community-led ANtipsychotic Drug REduction for Adults with Learning Disabilities,10.3310/hta21470,UK,qualitative interviews,"Yes; qualitative interviews were conducted with principal investigators, carers, and participants to explore non-efficacy-based barriers to antipsychotic drug reduction in clinical practice.",Not mentioned,No,Not applicable
The value of an embedded qualitative study in a trial of a second antidepressant for people who had not responded to one antidepressant: understanding the perspectives of patients and general practitioners,10.1186/s12875-018-0877-4,UK,"semi-structured interviews, thematic analysis",Yes; qualitative data was used to explore patients' and general practitioners' perspectives on the acceptability of combination antidepressant treatments and reasons for participation or non-participation in the clinical trial through interviews embedded within the MIR trial.,Not mentioned,No,Not applicable
Implementation of the SMART MOVE intervention in primary care: a qualitative study using normalisation process theory,10.1186/s12875-018-0737-2,Ireland,"focus groups, semi-structured interviews, Framework Analysis","Yes; qualitative data was used to explore barriers and levers to implementation of the mhealth intervention through interviews and focus groups with trial participants and primary care staff, analyzed using Normalisation Process Theory and Framework Analysis.",Not mentioned,No,Not applicable
Transcutaneous auricular vagus nerve stimulation with concurrent upper limb repetitive task practice for poststroke motor recovery: A pilot study,Redgrave et al. - 2018 - Transcutaneous Auricular Vagus Nerve Stimulation w.grobid,UK,qualitative interviews,Yes; qualitative interviews were conducted post-intervention to determine the acceptability of taVNS to participants.,Not mentioned,No,Not applicable
Protecting my injured child: a qualitative study of parents' experience of caring for a child with a displaced distal radius fracture,10.1186/s12887-022-03340-z,UK,"telephone interviews, reflexive thematic analysis","Yes; qualitative data was used to explore families' experiences of childhood wrist fractures, treatment decision-making, and participation in the clinical trial through interviews and thematic analysis.",Not mentioned,No,Not applicable
Factors influencing fidelity to guideline implementation strategies for improving pain care at cancer centres: a qualitative sub-study of the Stop Cancer PAIN Trial,10.1186/s12913-024-11243-1,Australia,"semi-structured interviews, framework method, deductive coding based on COM-B Model","Yes; qualitative data was used to explore factors influencing fidelity to the intervention from the perspectives of clinical champions, clinicians, and clinic receptionists through semi-structured interviews and framework analysis.",Not mentioned,No,Not applicable
Effectiveness of community outreach HIV prevention programs in Vietnam: a mixed methods evaluation,10.1186/s12889-019-7418-5,Vietnam,in-depth interviews,"Yes; qualitative data was used through 125 in-depth interviews to supplement quantitative survey data, providing evidence of the impact of outreach programs among high-risk populations.",Not mentioned,No,Not applicable
We have to clean ourselves to ensure that our children are healthy and beautiful: findings from a qualitative assessment of a hand hygiene poster in rural Uganda,10.1186/s12889-018-6343-3,Uganda,"focus groups, thematic content analysis","Yes; qualitative data was used to assess the acceptability and understanding of a hand hygiene poster through focus group discussions with mothers, analyzing their perceptions and compliance with the intervention.",Not mentioned,No,Not applicable
Feasibility cluster randomised controlled trial of a within-consultation intervention to reduce antibiotic prescribing for children presenting to primary care with acute respiratory tract infection and cough,10.1136/bmjopen-2016-014506,UK,Interviews,Yes; qualitative data were used through interviews with clinicians to understand recruitment patterns and clinician behavior regarding antibiotic prescribing and intervention use.,Not mentioned,No,Not applicable
A physical activity intervention for children with type 1 diabetes-steps to active kids with diabetes (STAK-D): a feasibility study,10.1186/s12887-018-1036-8,UK,"qualitative interviews, thematic analysis","Yes; qualitative interviews with children, parents, healthcare professionals, and volunteers were conducted to explore intervention acceptability and identify barriers and facilitators to adherence, recruitment motivations, and experiences of the programme.",Logistical barriers to attendance at group sessions; no other barriers explicitly mentioned,No,Not applicable
"Qualitative Study of the Patient Experience with Venglustat for Gaucher Disease Type 3 in a Phase 2 Open-Label, Multicenter, Multinational Study (LEAP)",10.1007/s12325-024-02881-2,United States,"semi-structured interviews, case study","Yes; qualitative data was used to explore patient, caregiver, and clinician perceptions of symptom changes and treatment effects through in-depth interviews and case studies.","Small sample size (N=11), language barriers limiting site inclusion, and limited generalisability due to naturalistic case study design.",No,Not applicable
An antibiotic stewardship programme to reduce inappropriate antibiotic prescribing for acute respiratory infections in rural Chinese primary care facilities: study protocol for a clustered randomised controlled trial,10.1186/s13063-020-04303-4,China,"qualitative process evaluation (likely interviews or focus groups, exact methods not specified)","Yes; qualitative data was used in a process evaluation to explore acceptability, cultural appropriateness, and burden of technology use related to the intervention.",Not mentioned,No,Not applicable
"Refining a model of collaborative care for people with a diagnosis of bipolar, schizophrenia or other psychoses in England: a qualitative formative evaluation",10.1186/s12888-018-1997-z,England,"semi-structured interviews, session recordings, tape-assisted recall, thematic analysis","Yes; qualitative data was used to collect insights from practitioners, service users, and family carers to identify barriers and facilitators to delivery, inform an implementation support strategy, and test the programme theory through thematic analysis.",Not mentioned,No,Not applicable
"Acceptability and fidelity of a psychosocial intervention (PROACTIVE) for older adults with depression in a basic health unit in São Paulo, Brazil: a qualitative study",10.1186/s12889-021-12402-3,Brazil,"Focus groups, non-participant observation, structured interviews, thematic analysis","Yes; qualitative data was used to assess health workers' fidelity to the intervention protocol, acceptability of the intervention from older adult participants, and perceptions of the intervention by health workers through focus groups, observations, and interviews analyzed thematically.",Extra burden on health workers and need for adjustments in daily duties mentioned; no other specific barriers detailed.,No,Not applicable
Examining study participants' decision-making and ethics-related experiences in a dietary community randomized controlled trial in Malawi,10.1186/s12910-021-00729-w,Malawi,"in-depth interviews, focus groups, ethnographic observations, grounded theory","Yes; qualitative data was used to explore participants' motivations, experiences, concerns, and ethical issues during the trial through interviews, focus groups, and observations, analyzed using grounded theory to inform support strategies and improve ethical conduct and participant retention.",Not mentioned,No,Not applicable
The feasibility of the Prostate cancer: Evidence of Exercise and Nutrition Trial (PrEvENT) dietary and physical activity modifications: a qualitative study,10.1186/s13063-017-1828-4,UK,"semi-structured interviews, thematic analysis",Yes; qualitative data was used to explore participants' experiences and acceptability of the diet and physical activity interventions and data collection methods through interviews analyzed thematically.,Not mentioned,No,Not applicable
Social response to the delivery of HIV self-testing in households: experiences from four Zambian HPTN 071 (PopART) urban communities,10.1186/s12981-020-00287-y,Zambia,"Interviews, observations, group discussions, thematic analysis","Yes; qualitative data was used to document participants' experiences with HIV self-testing through interviews, observations, and group discussions, which were then thematically analysed to understand social responses and implications of HIVST distribution.",Not mentioned,No,Not applicable
A qualitative process evaluation within a clinical trial that used healthcare technologies for children with asthma-insights and implications,10.1371/journal.pone.0280086,UK,semi-structured interviews,Yes; qualitative data was used through semi-structured interviews with trial staff and families to explore experiences and perspectives on the use of smart inhalers and algorithm-generated treatment recommendations within the clinical trial.,Not mentioned,No,Not applicable
Exploring a novel method for optimising the implementation of a colorectal cancer risk prediction tool into primary care: a qualitative study,10.1186/s13012-022-01205-8,Australia,"interviews, thematic analysis, inductive coding","Yes; qualitative data was used to explore and adapt implementation strategies for the CRISP tool in general practice through interviews with practice staff, coding and thematic analysis mapped to CFIR domains to evaluate and improve implementation methods.",Not mentioned,No,Not applicable
Broadening the Debate About Post-trial Access to Medical Interventions: A Qualitative Study of Participant Experiences at the End of a Trial Investigating a Medical Device to Support Type 1 Diabetes Self-Management,10.1080/23294515.2019.1592264,UK,"interviews, thematic analysis","Yes; qualitative data was used through interviews with 24 participants to explore their experiences and perceptions after trial close-out, focusing on psychological, emotional, and practical impacts of withdrawing the medical device.",Not mentioned,No,Not applicable
"A qualitative analysis of suicidal psychiatric inpatients views and expectations of psychological therapy to counter suicidal thoughts, acts and deaths",10.1186/s12888-018-1921-6,UK,"semi-structured individual interviews, thematic analysis","Yes; qualitative data was used to explore suicidal inpatients' views and expectations of a novel ward-based suicide-focused psychological therapy through thematic analysis of interviews, informing a user-informed model of therapy.",Not mentioned,No,Not applicable
The effectiveness and satisfaction of web-based physiotherapy in people with spinal cord injury: a pilot randomised controlled trial,10.1038/sc.2016.125,UK,Telephone interviews,Yes; qualitative data was used to explore participant satisfaction with the intervention through telephone interviews.,Not mentioned,No,Not applicable
"Acceptability, use and safety of the BlueIce self-harm prevention app: qualitative findings from the Beating Adolescent Self-Harm (BASH) randomised controlled trial",10.1136/bmjment-2023-300961,UK,content analysis of postuse interviews,"Yes; qualitative data was used through content analysis of postuse interviews to assess acceptability, use, and safety of the BlueIce app among adolescents.",Not mentioned,No,Not applicable
Translating evidence into practice: a longitudinal qualitative exploration of allied health decision-making,10.1186/s12961-020-00662-1,"Australia, New Zealand","Focus groups, Thematic analysis","Yes; qualitative data was used through serial focus groups with allied health managers to explore their perceptions and decision-making processes, analyzed using inductive thematic analysis to identify key themes related to evidence implementation.","Barriers included attitudes towards evidence, limited skills in critical appraisal, lack of authority to promote change, and risk of confirmation biases in decision-making.",No,Not applicable
A multi-component intervention to sit less and move more in a contact centre setting: a feasibility study,10.1186/s12889-019-6615-6,UK,"focus groups, interviews, thematic analysis","Yes; qualitative data was used to explore the acceptability and feasibility of the intervention and key study phases, providing context to process evaluation and survey responses.",High workload influenced recruitment; no other barriers explicitly mentioned,No,Not applicable
Effectiveness of a Self-Management Education Program on Self-Efficacy in Chinese Patients with COPD,10.2147/COPD.S136216,China (Macau),Focus groups,Yes; qualitative data were collected via three focus groups to supplement quantitative findings and to explain the effects of the self-management intervention on patients' perceptions and experiences.,Not mentioned,No,Not applicable
Living with Crohn's disease: an exploratory cross-sectional qualitative study into decision-making and expectations in relation to autologous haematopoietic stem cell treatment (the DECIDES study),10.1136/bmjopen-2016-015201,"UK, Spain","semistructured interviews, framework analysis",Yes; qualitative data was used to explore factors influencing decision-making and expectations of people considering or participating in the Autologous Haematopoietic Stem Cell Treatment trial through interviews and thematic framework analysis.,Ethics constraints on data sharing due to consent at recruitment; no mention of other barriers such as sample size or cost.,No,Not applicable
Staff experiences of closing out a clinical trial involving withdrawal of treatment: qualitative study,10.1186/s13063-017-1813-y,UK,"Interviews, thematic analysis","Yes; qualitative data was used to explore staff experiences and ethical/emotional challenges during the closeout phase of a clinical trial involving treatment withdrawal, providing insights into decision-making and ethical dilemmas faced by staff.",Not mentioned,No,Not applicable
"Perceptions of illness, decisions to consult and acceptability of delayed antibiotic prescriptions and self-help treatments for respiratory tract infections: a qualitative interview study nested within the PIPS clinical trial",10.1136/bmjopen-2017-016903,UK,"semistructured interviews, thematic analysis","Yes; qualitative data was used to explore patients' perceptions and experiences regarding illness, treatment decisions, and acceptability of delayed antibiotic prescriptions and self-help treatments through semistructured interviews and thematic analysis.",Not mentioned,No,Not applicable
The experiences of postnatal women and healthcare professionals of a brief weight management intervention embedded within the national child immunisation programme,10.1186/s12884-021-03905-3,UK,"semi-structured interviews, Framework Method (qualitative data analysis)","Yes; qualitative data was used to explore the experiences and views of postnatal women and healthcare professionals regarding the feasibility, acceptability, and delivery of the brief weight management intervention embedded within child immunisation appointments.",Not mentioned,No,Not applicable
Cardiac rehabilitation patients experiences and understanding of group metacognitive therapy: a qualitative study,10.1136/openhrt-2021-001708,UK,"interviews, thematic analysis","Yes; qualitative interviews were conducted to explore patients' experiences and understanding of group metacognitive therapy (group MCT), including how patients engaged with and used the techniques and their subjective value of the intervention.",Not mentioned,No,Not applicable
Exploring psychiatrists' perspectives of working with patients with dissociative seizures in the UK healthcare system as part of the CODES trial: a qualitative study,10.1136/bmjopen-2018-026493,UK,"semistructured interviews, thematic analysis","Yes; qualitative data was used to capture psychiatrists' experiences and views on working with patients with dissociative seizures within the context of the CODES RCT, allowing elaboration beyond quantitative measures.","Small sample size; limited geographic representation (only England, no Scotland or Wales); potential lack of generalisability; not representative of all psychiatrists in the UK NHS",No,Not applicable
Influence of recurrent assessments during data collection on caregivers and young children for an agricultural livelihood intervention in Kenya: a qualitative study,10.1136/bmjopen-2023-077637,Kenya,"qualitative exit interviews, thematic analysis, member checking, peer debriefing, coding with multiple coders","Yes; qualitative exit interviews were used to understand how recurrent assessments influenced caregiver and child behavior in the control arm of a clinical trial, exploring participant experiences and behavioral changes attributed to study assessments.",Difficulty differentiating between influence of study assessments and typical growth and development; attribution challenges; not explicitly mentioning other barriers such as cost or ethics,No,Not applicable
Equipoise across the patient population: optimising recruitment to a randomised controlled trial,10.1186/s13063-016-1711-8,UK,interviews,"Yes; qualitative data was used to explore patient and clinician perspectives on trial recruitment, reasons for accepting or declining participation, and to inform improvements in trial design and recruitment strategy.",Not mentioned,No,Not applicable
"Incorporating parent, former patient and clinician perspectives in the design of a national UK double-cluster, randomised controlled trial addressing uncertainties in preterm nutrition",10.1136/bmjpo-2021-001112,UK,"focus groups, semi-structured interviews, thematic analysis, framework analysis","Yes; qualitative data was used to involve parents, former patients, and clinicians in trial development through focus groups and interviews to improve recruitment materials, consent processes, and understand stakeholder perspectives.",Not mentioned,No,Not applicable
A qualitative study of Telehealth patient information leaflets (TILs): are we giving patients enough information?,10.1186/s12913-017-2257-5,UK,"discourse analysis, semi-structured interviews, thematic analysis","Yes; qualitative data was used to analyze telehealth leaflets through discourse analysis and to explore patients' perceptions and engagement via semi-structured interviews, which were thematically analyzed to identify key themes.",Not mentioned,No,Not applicable
A qualitative study exploring participants' experiences of the SCOPE2 trial: chemoradiotherapy dose escalation in oesophageal cancer,10.1186/s13063-025-08768-z,UK,"semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore patients' experiences and perceptions of the SCOPE2 trial, including recruitment, trial conduct, practical management, and impact of COVID-19, through longitudinal interviews and thematic analysis.","Slow recruitment due to health issues of patients, lack of staff for recruitment, concerns about increased radiotherapy dosage, information overload, adherence to PET scan timelines, and COVID-19 pandemic impacts.",No,Not applicable
BMC Medical Education,10.1186/s12909-024-05872-7,Kenya,"Focus group discussions, thematic analysis, field notes","Yes; qualitative data was used to explore the experiences and barriers faced by midwifery educators, students, and mentors in implementing an EmONC-enhanced curriculum through focus groups and thematic analysis.",Not mentioned,No,Not applicable
The Sustain and Spread Framework: strategies for sustaining and spreading nutrition care improvements in acute care based on thematic analysis from the More-2-Eat study,10.1186/s12913-018-3748-8,Canada,"key informant interviews, small group discussions, focus groups, thematic analysis","Yes; qualitative data was used to identify enablers and barriers to implementing and sustaining nutrition care improvements through interviews, focus groups, and thematic analysis of transcripts and notes.",Not mentioned,No,Not applicable
Telephone cognitive behavioural therapy to prevent the development of chronic widespread pain: a qualitative study of patient perspectives and treatment acceptability,10.1186/s12891-019-2584-2,UK,"individual qualitative interviews, semi-structured interviews, Framework analysis",Yes; qualitative data was used to explore patients' treatment experiences and acceptability of the telephone CBT intervention through semi-structured interviews analyzed using Framework analysis.,Not mentioned,No,Not applicable
A qualitative study exploring participants' experiences of the SCOPE2 trial: chemoradiotherapy dose escalation in oesophageal cancer,10.1186/s13063-025-08768-z,UK,"semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore patients' experiences and perceptions of the SCOPE2 trial, including recruitment, trial conduct, practical management, and impact of COVID-19, through longitudinal interviews informing trial improvements.","Slow recruitment due to health issues of patients, lack of staff for recruitment, concerns about increased radiotherapy dosage, information overload, COVID-19 pandemic impact, and regulatory delays.",No,Not applicable
Enhanced psychological care in cardiac rehabilitation services for patients with new-onset depression: the CADENCE feasibility study and pilot RCT,10.3310/hta22300,UK,"Interviews, observations","Yes; qualitative data were used to explore the acceptability and practicality of enhanced psychological care (EPC) from the perspectives of patients and nurses, including interviews post-intervention and observations during staff training.","Workload constraints for nurses delivering the intervention, organisational challenges, recruitment difficulties, and embedding psychological support within routine care.",No,Not applicable
Recovery from recurrent depression with mindfulness-based cognitive therapy and antidepressants: a qualitative study with illustrative case studies,10.1136/bmjopen-2019-033892,UK,"interviews, written feedback, thematic analysis, case studies","Yes; qualitative data was used to explore participants' experiences of recovery journeys following MBCT and antidepressant medication through written feedback and in-depth interviews, analyzed thematically and illustrated with case studies.",Not mentioned,No,Not applicable
"School-Based Physical Activity Intervention: A Qualitative Process Evaluation of a Feasibility Trial in Yangzhou, China",10.3390/ijerph19021021,China,"Semi-structured interviews, Thematic analysis","Yes; qualitative data was used to explore experiences and perceptions of participants and providers regarding the intervention and trial, and to generate recommendations for future intervention design and full-scale cluster RCT.",Not mentioned,No,Not applicable
Early psychosis service user views on digital remote monitoring: a qualitative study,10.1186/s12888-025-06859-4,UK,"interviews, qualitative framework analysis","Yes; qualitative interviews were conducted post-intervention to explore participants' experiences using the ClinTouch app, focusing on acceptability, benefits, challenges, and recommendations for improvement.",Not mentioned,No,Not applicable
Does a simple web-based intervention facilitate the articulation of patients' unvoiced agenda for a consultation with their diabetologists? A qualitative study,10.1136/bmjopen-2018-026588,England,"Semi-structured interviews, audio-recordings, thematic discourse analysis","Yes; qualitative data was used to explore how a web-based intervention helped patients articulate their consultation agenda through interviews, audio-recorded consultations, and thematic discourse analysis involving patient representatives.",Small sample size limiting sampling for qualitative study,No,Not applicable
Reducing Primary Care Attendance Intentions for Pediatric Respiratory Tract Infections,10.1370/afm.2392,UK,Parent feedback (open-ended survey responses),Yes; qualitative data was used to gather parent feedback on the intervention material through open-ended survey questions to understand perceptions and acceptability.,Not mentioned,No,Not applicable
Study protocol: Care of Late-Stage Parkinsonism (CLaSP): a longitudinal cohort study,10.1186/s12883-018-1184-3,"UK, France, Germany, Netherlands, Portugal, Sweden","Semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore the health care needs and experiences of patients and carers through semi-structured interviews, which were audio-recorded, transcribed, and analyzed thematically to identify experiences and perceived needs.","Identification, recruitment, and assessment of late-stage patients especially those not under regular specialist follow-up; difficulty in communication due to dysarthria or language problems; not explicitly mentioning other barriers such as cost or subjectivity.",No,Not applicable
Evaluating women's experiences and satisfaction with labour induction in India: a comparison of the participant generated experience and satisfaction (PaGES) index with standard methods,10.1186/s12884-025-07731-9,India,"Semi-structured interviews, thematic analysis, framework approach","Yes; qualitative data was used through semi-structured interviews and thematic analysis to explore women's priorities, experiences, and satisfaction with labour induction, triangulated with quantitative data from the PaGES Index and Likert questionnaires.",Not mentioned,No,Not applicable
Participation in a trial in the emergency situation: a qualitative study of patient experience in the UK WOLLF trial,10.1186/s13063-018-2722-4,UK,"Interviews, Phenomenology, Thematic analysis","Yes; qualitative data was used to understand patients' lived experience of participating in the UK WOLLF trial through interviews analyzed phenomenologically to identify themes about patient vulnerability, trust, and understanding of trial participation.",Not mentioned,No,Not applicable
"Implementation, mechanisms of impact and key contextual factors involved in outcomes of the Modification of Diet, Exercise and Lifestyle (MODEL) randomised controlled trial in Australian adults: protocol for a mixed-method process evaluation",10.1136/bmjopen-2019-036395,Australia,"interviews, mixed-methods approach","Yes; qualitative data was used to gain rich insights into participants' perspectives on the intervention, including their views on counselling sessions and reactions to blood vessel disease results, to understand implementation, mechanisms of impact, and contextual factors influencing outcomes.",Risk of recall bias due to poor memory or life-changing nature of cardiovascular disease; other barriers not explicitly mentioned,No,Not applicable
